Time,Used,Committed,Max
45437.779572,149261576,486539264,5205131264
45437.779616,191903952,486539264,5205131264
45437.779662,204924336,486539264,5205131264
45437.779709,306006960,486539264,5205131264
45437.779755,88297136,486539264,5205131264
45437.779801,134823856,486539264,5205131264
45437.779848,219077136,486539264,5205131264
45437.779894,72730160,486539264,5205131264
45437.779940,64699920,486539264,5205131264
45437.779987,136424952,486539264,5205131264
45437.780033,208094224,486539264,5205131264
45437.780079,233662992,486539264,5205131264
45437.780125,229867024,486539264,5205131264
45437.780172,284825264,486539264,5205131264
45437.780218,79711736,486539264,5205131264
45437.780264,252098280,486539264,5205131264
45437.780311,311209536,486539264,5205131264
45437.780357,336761360,486539264,5205131264
45437.780403,64555512,486539264,5205131264
45437.780450,102665744,486539264,5205131264
45437.780496,300221616,486539264,5205131264
45437.780542,262844944,486539264,5205131264
45437.780588,208709648,486539264,5205131264
45437.780635,225912312,486539264,5205131264
45437.780681,125653112,486539264,5205131264
45437.780727,109272752,486539264,5205131264
45437.780774,327750504,486539264,5205131264
45437.780820,315528720,486539264,5205131264
45437.780866,303376048,486539264,5205131264
45437.780913,68916912,486539264,5205131264
45437.780959,287410864,486539264,5205131264
45437.781005,250038448,486539264,5205131264
45437.781051,250394128,486539264,5205131264
45437.781098,83033264,486539264,5205131264
45437.781144,146327544,486539264,5205131264
45437.781190,0,0,-9223372036854775808
